TIME,AUTO_SWITCHES,CATALOGCACHE_SZ,CHNGPGS_THRESH,DATABASE_MEMORY,DBHEAP,DFT_DEGREE,DFT_TABLE_ORG,INSTANCE_MEMORY,LOCKLIST,LOCKTIMEOUT,LOGBUFSZ,LOGFILSIZ,LOGPRIMARY,LOGSECOND,MAXLOCKS,NUM_INITAGENTS,NUM_IOCLEANERS,NUM_IOSERVERS,PCKCACHESZ,SELF_TUNING_MEM,SHEAPTHRES_SHR,SORTHEAP,STAT_HEAP_SZ,STMTHEAP,UTIL_HEAP_SZ
2015-02-02 16:13:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-02 16:18:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-03 09:44:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-03 09:50:03,0,0,0,0,0,0,0,11051604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-03 09:50:26,0,0,0,56672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-03 09:50:46,0,0,0,56832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-03 09:51:06,461,360,80,0,6198,-1,1,0,4096,0,2152,1024,45,19,15,0,1,4,2812,1,915100,45755,0,16384,587551
2015-02-03 09:53:49,0,0,0,2724832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-03 10:04:13,0,0,0,5420144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,0,0,0,0,0,0
2015-02-03 10:05:20,0,0,0,0,0,0,0,0,6144,0,0,0,0,0,98,0,0,0,8198,0,0,0,0,0,0
2015-02-03 10:06:20,0,0,0,1872711,0,0,0,0,9216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-03 10:07:20,0,0,0,0,0,0,0,0,13824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-03 10:13:20,0,0,0,4119822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-03 10:14:09,0,0,0,4076160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-03 10:16:02,0,0,0,4119875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-03 10:17:09,0,0,0,4076160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-03 10:20:00,0,0,0,4076384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-03 10:21:04,0,0,0,4120088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-04 08:34:41,0,0,0,4076384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-04 08:35:46,0,0,0,4120088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-04 10:26:08,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-04 15:34:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-04 15:34:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-04 15:34:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-04 15:35:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-04 15:37:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16384,0,0
2015-02-05 08:34:13,0,0,0,4076384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-05 08:35:19,0,0,0,4120088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-05 08:35:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
2015-02-05 09:18:55,0,0,0,4076384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-05 09:20:00,0,0,0,4120088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-05 10:02:07,0,0,0,4076384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-05 10:03:11,0,0,0,4120088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-06 09:53:22,0,0,0,4076384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-06 09:54:27,0,0,0,4120088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-06 09:59:11,0,0,0,4076384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-06 10:01:19,0,0,0,4120088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-06 10:02:28,0,0,0,4076384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-06 10:03:32,0,0,0,4120088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-06 10:08:15,0,0,0,4076384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-06 10:10:32,0,0,0,4120088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-06 10:31:16,0,0,0,4076384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-06 10:33:37,0,0,0,4120088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-06 13:16:53,0,0,0,4076384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-06 13:17:58,0,0,0,4120088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
